Report area: top=TOP; level=10000; athr=0;
  router_0/vc_allocator/separable_input_first_allocator                                                                  :    T=(    956.00,   2.746%),    C=(    834.71,   2.398%),    R=(    121.30,   0.348%),    B=(      0.00,   0.000%),    
  router_0/vc_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_0__round_robin_arbiter       :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_0/vc_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_1__round_robin_arbiter       :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_0/vc_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_2__round_robin_arbiter       :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_0/vc_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_3__round_robin_arbiter       :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_0/vc_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_4__round_robin_arbiter       :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_0/vc_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_0__round_robin_arbiter      :    T=(    151.94,   0.436%),    C=(    133.74,   0.384%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_0/vc_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_1__round_robin_arbiter      :    T=(    151.94,   0.436%),    C=(    133.74,   0.384%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_0/vc_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_2__round_robin_arbiter      :    T=(    151.94,   0.436%),    C=(    133.74,   0.384%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_0/vc_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_3__round_robin_arbiter      :    T=(    151.94,   0.436%),    C=(    133.74,   0.384%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_0/vc_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_4__round_robin_arbiter      :    T=(    151.94,   0.436%),    C=(    133.74,   0.384%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_1                                                                                                               :    T=(  17081.99,  49.067%),    C=(   6261.11,  17.985%),    R=(  10820.88,  31.082%),    B=(      0.00,   0.000%),    
  router_1/crossbar                                                                                                      :    T=(    522.21,   1.500%),    C=(    522.21,   1.500%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  router_1/input_block                                                                                                   :    T=(  13860.94,  39.814%),    C=(   3340.11,   9.594%),    R=(  10520.83,  30.220%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_0__input_port                                                                :    T=(   2756.61,   7.918%),    C=(    652.44,   1.874%),    R=(   2104.17,   6.044%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_0__input_port/chiplet_rc_unit                                                :    T=(      7.66,   0.022%),    C=(      7.66,   0.022%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_0__input_port/generate_virtual_channels_0__input_buffer                      :    T=(   1350.54,   3.879%),    C=(    298.45,   0.857%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_0__input_port/generate_virtual_channels_0__input_buffer/circular_buffer      :    T=(   1249.67,   3.590%),    C=(    252.17,   0.724%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_0__input_port/generate_virtual_channels_1__input_buffer                      :    T=(   1350.22,   3.878%),    C=(    298.13,   0.856%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_0__input_port/generate_virtual_channels_1__input_buffer/circular_buffer      :    T=(   1249.99,   3.590%),    C=(    252.49,   0.725%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_1__input_port                                                                :    T=(   2772.25,   7.963%),    C=(    668.09,   1.919%),    R=(   2104.17,   6.044%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_1__input_port/chiplet_rc_unit                                                :    T=(      7.66,   0.022%),    C=(      7.66,   0.022%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_1__input_port/generate_virtual_channels_0__input_buffer                      :    T=(   1355.32,   3.893%),    C=(    303.24,   0.871%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_1__input_port/generate_virtual_channels_0__input_buffer/circular_buffer      :    T=(   1255.41,   3.606%),    C=(    257.91,   0.741%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_1/input_block/generate_input_ports_1__input_port/generate_virtual_channels_1__input_buffer                      :    T=(   1358.52,   3.902%),    C=(    306.43,   0.880%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
